date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:25	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Oct%202025%2010:50:59%20GMT	https://www.tailoredsweep.com/robots.txt		(from )
18:51:25	53614/53614	---MCZ	200	added ('OK')	text/html	etag:W/%229b17c4a623791a319a70f079004613e4%22	https://www.tailoredsweep.com/	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/index.html	(from )
18:51:25	3073/3073	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2205f1a7714b76620e381565d43aa9c55f%22	https://www.tailoredsweep.com/contents/images/icon.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/icon.svg	(from https://www.tailoredsweep.com/)
18:51:25	78170/78170	---M--	200	added ('OK')	image/webp	etag:%228129e2508be60c1b7f48cd91580d0c5e%22	https://www.tailoredsweep.com/contents/images/cleaninggirl.webp	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/cleaninggirl.webp	(from https://www.tailoredsweep.com/)
18:51:26	232948/232948	---M-Z	200	added ('OK')	text/css	etag:%226503298b-77c2%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/css/bootstrap.min.css	C:/Users/Dell/Desktop/TSweep/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/css/bootstrap.min.css	(from https://www.tailoredsweep.com/)
18:51:26	22213/22213	---MCZ	200	added ('OK')	text/css	etag:W/%2254bf0c67a5f795994b119bc5ecbd037c%22	https://www.tailoredsweep.com/styles/home.css	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/styles/home.css	(from https://www.tailoredsweep.com/)
18:51:27	10667/10667	---MCZ	200	added ('OK')	text/css	etag:W/%225ca6d805be423ec8d1c819cb42c9f45f%22	https://www.tailoredsweep.com/styles/home5.css	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/styles/home5.css	(from https://www.tailoredsweep.com/)
18:51:27	24529/24529	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220b25898d07acc5b43ef45583bea79217%22	https://www.tailoredsweep.com/contents/images/logowithtext.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/logowithtext.svg	(from https://www.tailoredsweep.com/)
18:51:28	24059/24059	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2229835324648ae1da8246a6b06c24a16f%22	https://www.tailoredsweep.com/contents/images/logowithtextwhite.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/logowithtextwhite.svg	(from https://www.tailoredsweep.com/)
18:51:28	276/276	---M--	200	added ('OK')	image/svg+xml	etag:%2246c680902ab9d4fa4e143139570e870e%22	https://www.tailoredsweep.com/contents/images/navbaricon.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/navbaricon.svg	(from https://www.tailoredsweep.com/)
18:51:28	532/532	---M--	200	added ('OK')	image/svg+xml	etag:%22f1e421c5509987a6bc09056c7374cc67%22	https://www.tailoredsweep.com/contents/images/navbariconwhite.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/navbariconwhite.svg	(from https://www.tailoredsweep.com/)
18:51:29	316/316	---M--	200	added ('OK')	image/svg+xml	etag:%22e6803e23e5124a5f58c17d56820b90b4%22	https://www.tailoredsweep.com/contents/images/navbarclose.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/navbarclose.svg	(from https://www.tailoredsweep.com/)
18:51:29	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Oct%202025%2010:51:04%20GMT	https://www.tailoredsweep.com/${newUrl}	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/${newUrl}.a.delayed	(from https://www.tailoredsweep.com/)
18:51:30	13369/13369	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2205996d9ad34f47152e6915fd5bcee8f8%22	https://www.tailoredsweep.com/projects/sydneybuilds.com/contents/images/engineer.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/projects/sydneybuilds.com/contents/images/engineer.svg	(from https://www.tailoredsweep.com/)
18:51:30	501/501	---M--	200	added ('OK')	image/svg+xml	etag:%22b685d01bb41d02cca585010226bfcb8e%22	https://www.tailoredsweep.com/contents/images/attention.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/attention.svg	(from https://www.tailoredsweep.com/)
18:51:31	695/695	---M--	200	added ('OK')	image/svg+xml	etag:%228676772f4b83b5495f3a9cd80dcab5f7%22	https://www.tailoredsweep.com/contents/images/time.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/time.svg	(from https://www.tailoredsweep.com/)
18:51:31	1331/1331	---M--	200	added ('OK')	image/png	etag:%2235bbfb40c4f9edd3e6e968856b49cca4%22	https://www.tailoredsweep.com/contents/images/price.png	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/price.png	(from https://www.tailoredsweep.com/)
18:51:31	1022/1022	---M--	200	added ('OK')	image/png	etag:%22e6d0b7017a06e72469969a4683f3ecda%22	https://www.tailoredsweep.com/contents/images/arrow-down.png	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/arrow-down.png	(from https://www.tailoredsweep.com/)
18:51:32	5665/5665	---M--	200	added ('OK')	image/png	etag:%227880c4d4d32b210e7a99c4154151568e%22	https://www.tailoredsweep.com/contents/images/messengericon.png	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/messengericon.png	(from https://www.tailoredsweep.com/)
18:51:32	558/558	---M--	200	added ('OK')	image/svg+xml	etag:%225c2b5eb4169e66d5745c77c36f9f731c%22	https://www.tailoredsweep.com/contents/images/emailicon.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/emailicon.svg	(from https://www.tailoredsweep.com/)
18:51:33	554/554	---M--	200	added ('OK')	image/svg+xml	etag:%228397df250c5eabe9302c05f71d3cce2f%22	https://www.tailoredsweep.com/contents/images/facebook.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/facebook.svg	(from https://www.tailoredsweep.com/)
18:51:34	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/Users/Dell/Desktop/TSweep/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://www.tailoredsweep.com/)
18:51:34	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:%226503298b-5d00%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/js/bootstrap.bundle.min.js	C:/Users/Dell/Desktop/TSweep/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/js/bootstrap.bundle.min.js	(from https://www.tailoredsweep.com/)
18:51:34	19150/19150	---MCZ	200	added ('OK')	application/javascript	etag:W/%2235dcfdb26342cae4fc5c9f5fdeea3c5e%22	https://www.tailoredsweep.com/js/main.js	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/js/main.js	(from https://www.tailoredsweep.com/)
18:51:35	3538/3538	---MCZ	200	added ('OK')	application/javascript	etag:W/%2288945486caca05e62ad84b6c30391c4e%22	https://www.tailoredsweep.com/js/navbar.js	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/js/navbar.js	(from https://www.tailoredsweep.com/)
18:51:35	351/351	---M--	200	added ('OK')	image/svg+xml	etag:%22a71b1fa7613cbb25e1b2bf4fa653de47%22	https://www.tailoredsweep.com/contents/images/linkarrow.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/linkarrow.svg	(from https://www.tailoredsweep.com/styles/home.css)
18:51:36	355/355	---M--	200	added ('OK')	image/svg+xml	etag:%224628173b55256108b483e5c7ff7ad266%22	https://www.tailoredsweep.com/contents/images/linkarrowwhite.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/linkarrowwhite.svg	(from https://www.tailoredsweep.com/styles/home.css)
18:51:36	364/364	---M--	200	added ('OK')	image/svg+xml	etag:%223c80e32b6ed04f0df2f2e8bea1ed4292%22	https://www.tailoredsweep.com/contents/images/rightarrowblack.svg	C:/Users/Dell/Desktop/TSweep/www.tailoredsweep.com/contents/images/rightarrowblack.svg	(from https://www.tailoredsweep.com/styles/home.css)
